Username,Handle,Timestamp,Comments,Likes,Retweets,Text
TF Venom-001,@001_venom,2021-05-15T00:31:36.000Z,#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination #COVID1984 #Biden #Biden4Prison #NotMyPresident #BidenRegime,,4,2
TF Venom-001,@001_venom,2021-05-15T00:11:40.000Z,#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination #COVID1984 #Legend,,,
TF Venom-001,@001_venom,2021-05-15T00:06:01.000Z,#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination #COVID1984 #cuck,,,
TF Venom-001,@001_venom,2021-05-14T22:41:10.000Z,"#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination #COVID19840:57
9 views",,,
E.H. Hau #Resist #Persist,@ActionTime,2021-05-14T19:21:36.000Z,"VERY Tiny Percentage of #Vaccinated People are Getting #Covid. Here’s Why you Shouldn’t Worry #VaccinesSaveLives #CovidVaccine #COVIDVaccination #VaccinesWork  #COVIDEmergency2021 #VaccinationForAll #Vaccines #Vaccine #Covid19BC #Covid19Canada #Covid19OnSome vaccinated people are still getting covid. Here’s why you shouldn’t worry.
Breakthrough infections are exceedingly rare. But by tracking them, researchers can uncover viral variants that manage to dodge the immune response.
technologyreview.com",1,1,
Niraj Patel ฿,@nirajpatel88,2021-05-14T04:42:47.000Z,"http://Wa.me/919013151515
Enter Pin code and get vaccination slot near by your PIN location & get vaccinated.

#vaccination #vaccinated #vaccine #CovidVaccineIndia #COVIDVaccination #CovidVaccine #COVIDVaccines #indiavaccine #india #COVID19 #Covid #Corona #coronavirus",,,
TF Venom-001,@001_venom,2021-05-13T20:26:31.000Z,#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination #COVID1984 #Biden #Biden4Prison #BidensAmerica #NotMyPresident #BidenRegime,,1,
TF Venom-001,@001_venom,2021-05-11T11:08:23.000Z,#COVIDー19 #COVID19 #vaccine #VaccinePassports #vaccination #Sheeple #Covid_19 #JUSTSAYNO #vaccines #NWO #COVID #CovidVaccine  #COVIDVaccination,,,
Niel Deepnarain,@nieldeepnarain,2021-05-10T19:09:58.000Z,"This 

This pandemic pantomime needs to end now, the lies, the controlling, the fear, the forcing is ruining lives and it's time this show shuts its curtains and never opens again.

#covid #covid19 #vaccine #masks #covidvaccine #mask #lockdown #covidvaccination #wakeup",,1,1
BU Clinical and Translational Science Institute,@BU_CTSI,2021-05-08T16:00:00.000Z,"#NEWS | Researchers are now analyzing how people with primary #immunodeficiencies or dysregulations respond to #COVID and #COVIDVaccination.

https://nih.gov/news-events/news-releases/covid-19-vaccine-responses-be-studied-people-immune-deficits… #COVID19Updates #SARSCoV2 #COVID19News #COVIDVaccine #VaccineCOVID-19 vaccine responses to be studied in people with immune
Enrollment begins at NIH Clinical Center.
nih.gov",,1,
