Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Lewy Danks,@lewy_danks,2021-05-11T15:55:34.000Z,"My Lil Jumpman 
 @Jumpman23
 @nike
 #Jordan #jordan1 #nike #nikeair",,,
minhavidaécorinthians,@minhavidacorin1,2021-05-11T15:52:42.000Z,"Provável escalação do Corinthians!! 

#corinthias #meutimao #nike",,,1
Reese Plays,@PlaysReese,2021-05-11T15:52:30.000Z,"BEST BLACK/URBAN CC FINDS | The Sims 4 Custom Content Haul | 100+ CC Lin... https://youtu.be/8l5p60pLQSw via 
@YouTube
  #sims4cc #cas #cchaul #likes #mac #nike",,,
Dawna,@AngieChute,2021-05-11T15:51:57.000Z,"Check out Nike France Soccer FFF Shirt Blue Large #Nike #Golf https://ebay.us/Qmd2Rw via 
@eBayNike France Soccer FFF Shirt Blue Large
France Soccer. Polo Shirt. Blue Color. Armpit to armpit = 21"" (53.3 cm). 3 button front.
ebay.com",,,
Bernice,@Bernice62251834,2021-05-11T15:51:38.000Z,"#nikerunningclub #coachBennett #Nike #vegan #weightlosstransformation #weightloss #fitness #fitnessgirl #health #GetReal
 #fitnessmotivation",,,
,@mrgreenhemp,2021-05-11T15:51:21.000Z,Next stuff on the list. So many things to buy but very little money. #nafsu #nike #dior #stussy #sbdunk #aj1retro,,,
Chillout,@Blasfibia,2021-05-11T15:51:19.000Z,"Wow los nuevos #nike inspirados en carne
 #Bacon #2021nike 
Y tú que opinas, los compras???",,,
MLM MARKETEUR #BITCOIN,@MlmMarketeur,2021-05-11T15:50:56.000Z,"http://lesprosdumlm.com/annonce-mlm/annonce-mlm-offre/offre-exceptionnelle-hellobank-a-ne-pas-manquer__-%ef%b8%8faffiliation_i182… Offre exceptionnelle HelloBank à ne pas manquer/__/.
#AFFILIATION #Bymyke #Shooting #photoshoot #modèle #urban #nature #french #artiste #photographe #world #Paris #london #USA #Russia #ibiza #miami #Nantes #happy #enjoy #love #travel #Amazing #PSG #nikeOffre exceptionnelle HelloBank à ne pas manquer/__/.
Offre exceptionnelle HelloBank à ne pas manquer L’ouverture d’un compte HelloBank avec un dépôt de 10 euros seulement vous permet de gagner 110 euros de prime !!! HelloBank : 110 euros pour vous 80...
lesprosdumlm.com",,,1
TheKitman.co.uk,@TheKitmanUK,2021-05-11T15:50:11.000Z,"WOW! 
@Inter_en
 will wear the 2020-21 fourth shirt when they face AS Roma tomorrow evening! 
#IMInter #Nike #Inter #InterMilan #InternazionaliNike Football and Inter 
Quote Tweet
Inter
@Inter_en
 · 22m
 | I M SPECIAL JERSEY

Tomorrow, the Champions of Italy will play in the I M Special Jersey 
Get yours now! ",,1,2
Crypto Papi,@Frankp46689697,2021-05-11T15:47:33.000Z,#uber #nike #microsoft #fexed #ikea #sephora #marriot #hotels #bestbuy #footlocker #gap #airbnb #bananarepublic #ebay #traderjoesupermarket,1,,
Alariwo Of Radio,@UgoIfeanyi8,2021-05-11T15:47:04.000Z,"Dear 
@nikefootball
 I can be your Ambassador here in Nigeria. I have lived a life of 
@Nike
 all through my life 
Well, my Birthday is on Friday 14th of may. I pray for a Perfect gift 
#Nike 
@nikestore
 @akaebube
 @davvvymoore
 @Felixdgreat1
 @dayo_dynamo
 @Cristiano
 @neymarjrPredictionHQ
 and 5 others",,,
Mason Scanlon,@subfaggitboy,2021-05-11T15:46:43.000Z,"Do I upload more like these ? 
@socksfetish11
 @SK8_NMD
 @ChavsInWhiteSox
 @UKSneaksSocks
 @fetichefr
 #Chav #chavslut #Chavez #Sk8erboy #WhiteSocks #Nike #Gay #GayChav #DirtySocks #Dominate #subnormales #subbyboy #GayBoysX #gaydadandson #FootFetish #SockFetishNation #SmellySocks",,,1
Sneaker Feeds,@SneakerFeeds,2021-05-11T15:43:13.000Z,"https://ebay.com/itm/393312475043?hash=item5b934017a3%3Ag%3Aja0AAOSwEOJgmpxI&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5338727541&customid=&toolid=10049… #fashion #nike #shoesUNDER ARMOUR SPEEDFORM SLINGSHOT 2
New never worn in box.
ebay.com",,,
Provampire,@Provampire_,2021-05-11T15:42:09.000Z,"Total returns over past 10 years:

Tesla: +10,638%
Nvidia: +2,971%
Domino’s Pizza: +2,097%
Amazon: +1,451%
Netflix: +1,337%
Adobe: +1,271%
Mastercard: +1,257%
#Visa: +1,096%
#Microsoft: +1,094%
#Apple: +1,052%
#Monster Beverage: +739%
#Google: +733%
#Nike: +634%
#Starbucks: +633%",,,
Æren Johanan,@aeren_johanan,2021-05-11T15:41:15.000Z,New sweater #nike,,,
Esquire*Attire,@esquireattire,2021-05-11T15:40:07.000Z,https://ebay.to/2NmnUI1 #NIKE Vital Men #sunglasses Black Rectangular Max,,,
Brandon Northcott,@northcott28,2021-05-11T15:37:06.000Z,"Nike Paint Splatter pants -$135 

Medium 
Waist line 19inch
Top To Bottom 39inch

DM TO INQUIRE 

#paintsplater #nike #buylocal #customclothing #ajax",,,
CryptoHams//ADA//VET//LINK//ZIL//,@HamsCrypto,2021-05-11T15:36:28.000Z,"$vet $vtho #vefam #VeChain holders it's time to start asking your favorite brands to kindly start using the blockchain for good. Everyone tag a brand you want to see you adopt #VeChainThor 

#nike
#JohnsonandJohnson 
#ford
#sysco
#usfoods",2,,1
TrenteTroisDegrés,@33Degres,2021-05-11T15:35:00.000Z,"#Nike dévoile une nouvelle Air Jordan 1 AJKO ""Storm Blue"" ",,2,5
BossB Apparels,@BossBApparels,2021-05-11T15:33:40.000Z,"Thanks Boss Arvin Bautista 
Nike Asuna Sandals SOLD 
#BossBApparels
#Nike
#Jordan 
#Adidas",,,
Nuh.Eye.Coal,@NyQuil32,2021-05-11T15:27:33.000Z,"When the dr asks “oh mija you’re 5’4?” 
 hahaha no ma’am I am 5’1 it’s the shoes I wear #Nike #JustDoIt",,,
Donnadeals2u,@donnadeals2u,2021-05-11T15:27:30.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #bp #nike #ericarose: https://posh.mk/YulZIyJUagb",,,
Kimberly williams,@Kwilliams6086,2021-05-11T15:27:24.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #nike: https://posh.mk/ZxhWN7IUagb",,,
HA7 CLASSICAL SHIRTS,@HA7CLASSICS,2021-05-11T15:26:47.000Z,"Too much 
 dropping in the next stock drop 
#Celtic #Rangers #Liverpool #Dortmund #Nike #Adidas #Umbro #ClassicFootballShirts #VintageFootballShirts #RetroFootball #VintageFootball #Classicfootball #Lextra #SportingID #Calcio #Explore #ExplorePage",,,
Donna Setterfield,@DonnaSetterfie2,2021-05-11T15:26:32.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@RealGodMateo
 @Bubbles57862438
 #poshmark #fashion #style #shopmycloset #korkease #levis #nike: https://posh.mk/lxxvlgFUagb",,,
Patti Tushim,@pattikake59,2021-05-11T15:26:29.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 from 
@jkmorris75
 #poshmark #fashion #style #shopmycloset #nike #41hawthorn #caslon: https://posh.mk/8QMKt2EUagb",,,
Grace Hoyos,@gkhoyos8313,2021-05-11T15:26:20.000Z,"So good I had to share! Check out all the items I'm loving on 
@Poshmarkapp
 #poshmark #fashion #style #shopmycloset #lucylaurel #chicnation #nike: https://posh.mk/tKHWYmEUagb",,,
Nikefootball,@Nikefoo15060522,2021-05-11T15:24:09.000Z,"Nike Mercurial Vapor Dream Spee 004 Elite FG 
#football #nike #Fortnite",,,
HELLA HANDSOME,@THE_IMHOTEP,2021-05-11T15:23:14.000Z,"#23JUMPSTREET #NIKE #JUMPMAN #THELASTDANCEMack Warbuckz ""23 Jump Street"" (Official Music Video) Produced by...
1st single off of Mack Warbuckz EP ""The Infinite Search""Follow Mack Warbuckz
 YouTube: https://www.youtube.com/channel/UCuUvK1r-bPH6kaX2GCYMStw?view_as=subs...
youtube.com",,,
China Beige Book,@ChinaBeigeBook,2021-05-11T15:22:26.000Z,"""Case stems from #Nike's $1.8B legal win vs counterfeiters who no-show'd...As defendants cldn’t be identified, 
@Nike
 sold rights to the damages, leading to targeting of 6 
banks–all parents of 
-based units that handled proceeds from counterfeit sales""US court mulls Chinese bank liability in Nike fakes lawsuit
The case stems from Nike's victory in a 2017 lawsuit in which it won $1.8bn in damages against counterfeit sellers.
securingindustry.com",,,
Param,@Param62322399,2021-05-11T15:21:10.000Z,"Paparasiz kimlik alınır anında ödeme papara hesaplarınız alınır
#hesapkiralama #paparakiralama #Takiplesiyoruz #FF #adidas #nike #borsa #iddaa #futbol",,,
Nino Brown,@MrBrownXCI,2021-05-11T15:20:14.000Z,"Glad I picked up a pair of these, highly underrated #aj1 #jordans #nike",,,1
Magdaaa,@xMagdaaa_,2021-05-11T15:15:58.000Z,które buty? proszę niech to pójdzie w viral bo serio potrzebuje pomocy #nike,,,
ﾔ ｻﾞﾜ,@EMW0LMFXp5SYOzE,2021-05-11T15:12:16.000Z,#AURALEE #mm6 #uniqlou #studionicholson #ユニクロ #オーラリー #マルジェラ #nike,,,
あきちゃんだよ♡,@akichandayo420,2021-05-11T15:10:03.000Z,"お風呂も入ったし買い出し行ってくる
#シュプリーム #ナイキ #NIKE #supreme #TraderJoes #トレーダージョーズ #ステラマッカートニー #エコバッグ",,,
Lucy Lozano,@lucylozanoa,2021-05-11T15:08:20.000Z,Corrió 4.12 kilómetros con Nike⁠ Run Club #nikeplus #nikerunning #nikerunclub #nikerun #nike #nikewomen #runninggirl #runnergirl #runnergirl #runners #run #running #YoElegiCorrer ,,,1
D.O.P.187,@oknoriginal,2021-05-11T15:05:19.000Z,"なんかスゲーww

#nike #testpattern",,,12
kizuna,@kizuna0117,2021-05-11T15:04:55.000Z,"買ってしまった………

ついに、買いました
ランニングシューズ、新調しました
憧れの、厚底
某スポーツショップで、箱が無いって事で値引きされてたのを見つけて即購入しました
めちゃ、テンション上がる
後は、ランニング力の問題です………
#NIKE
#ランニング",,,
wellgosh,@wellgosh,2021-05-11T15:02:25.000Z,"N I K E  A I R  H U A R A C H E

B R I G H T  M A N G O

N O W  L I V E  O N  L A U N C H E S  

https://launches.wellgosh.com/nike-air-huarache-white-purple-bright-mango-black-dd1068-101.html…

#nike #nikeairhuarache #huarache #wellgosh #wellgoshlove #wellgoshlaunchesNike Air Huarache White/Purple-Bright Mango-Black DD1068-101
Shop the Nike Air Huarache White/Purple-Bright Mango-Black DD1068-101 at Wellgosh.com
launches.wellgosh.com",,,1
SportyDude,@SportyDude7,2021-05-11T15:01:55.000Z,"It is simple and easy for me to keep moving when things get difficult. #basketball #nba
 #sports #ballislife #k #football #basket #lebronjames #lakers #bball #sport #nike #basketballneverstops",,,
SPTS,@ShopPriced2Sell,2021-05-11T15:00:07.000Z,"Our latest addition by #Nike for $174.83 Check out it here 
 https://shortlink.store/bXbcOmlkO  and follow us for all the latest additions!",,,
Conor Jones Designs,@cj23designs,2021-05-11T15:00:00.000Z,"@atletienglish
 Streamlines third kit concept
@fifakitcreator
 
#AtleticoMadrid #atletico #nike #fifa #fifa21 #pes #pes2021",,,
JustInfo4us,@JInfo4us,2021-05-11T14:51:21.000Z,"Jalen Hurts Throws a Pass!
https://zpr.io/RbxFH
#football #soccer #nfl #sports #futbol #fifa #sport #premierleague #calcio #messi #championsleague #ronaldo #like #cr #follow #futebol #love #seriea #basketball #realmadrid #bhfyp #nike #laliga #f #neymar #goal #instagram #barcelJalen Hurts Throws a Pass! - footballfannetwork.us
Source link
footballfannetwork.us",,,1
H,@inyeopinator,2021-05-11T14:50:58.000Z,How many times do we have to see that #nike before we get that cf,,,4
Koreya_of,@KoreyaOf,2021-05-11T14:49:49.000Z,#FOTOS #Nike #shopping #trap #trajado,,,
idealo_uk,@idealo_UK,2021-05-11T14:48:38.000Z,"We 
 hot deals like Kanye loves Kanye. Find your #Nike #AirMax at the best price on idealo 
 https://bit.ly/2RKK1u8",,,1
DeadLaced Sneakers & Fashion,@DeadLaced,2021-05-11T14:47:47.000Z,"Nike training Duffy bag #nike 

https://bit.ly/3hddyHM",,,3
Patrick Broussard,@p_kicks23,2021-05-11T14:47:24.000Z,"“Be not afraid of greatness; some are born great, some achieve greatness, and others have greatness thrust upon them.” —William Shakespeare
 or 
@Jumpman23
 @nikestore
 @Nike
 
#SNKRS #sneakertwitter #sneakersaddict #sneakerheads #NIKE #jumpman #sneakerhead #Jordan #fashion",,,2
ゴッド・クソメン,@tkhr1029,2021-05-11T14:41:59.000Z,"明日、もうそろGOTEM来い。
#NIKE #SNKRS #NIKEびいき",,,
swoosh supply,@swooshsupply,2021-05-11T14:40:00.000Z,"Now available on #Nike US.
Nike Air Max 90.
—> https://bit.ly/3vWPZqJ  #ad",,,2
